id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
1,300 MW Attapeu & Borikhamxay,Solar,Planned,250.0,2019.0,,,,,,,Laos,Vientiane [prefecture],Chanthabuly,Mekong Mainstream - Lower,17.99989,102.626,"Actual location unknown, currently sited at locality in link/announcement",,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne,,
2,300 MW Attapeu & Borikhamxay,Solar,Planned,50.0,2019.0,USA,Convalt Energy LLC (USA),,,,,Laos,Attapu,Samakkhixay,Sekong,14.81831,106.8238,"Actual location unknown, currently sited at locality in link/announcement",,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne,,
3,A Luoi,Hydro,Operational,170.0,2012.0,Vietnam,Central Region Hydropower JSC,,,Vietnam,VINAINCON,Vietnam,Thừa Thiên Huế,A Lưới,Sekong,16.19762,107.1619,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.mendeley.com/datasets/ht9k5p3vdb/1,https://wle-mekong.cgiar.org/construction-of-nam-chien-Hydropower-project-begins/,03/31/2021
4,A Vuong,Hydro,Operational,210.0,2008.0,Vietnam,A Vuong Hydro Power JSC,,,Japan; Vietnam,"Sumitomo, Licogi",Vietnam,Quảng Nam,Đông Giang,Song Giang,15.7998,107.6171,,,Wikipedia,https://www.licogi166.vn/en/cong-trinh-thuy-dien-a-vuong-a62.html; https://data.mendeley.com/datasets/ht9k5p3vdb/1,,03/31/2021
5,A.T. Biopower Rice Husk Power Project,Biomass,Operational,22.5,2004.0,Thailand,A.T. Biopower,,,,,Thailand,Phichit,Bang Mun Nak,Nan,16.07127,100.3964,,,UNFCCC,Rice husk,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174909241.2/view,
6,Active Synergy Landfill Gas Power Generation Project,Waste,Unknown,1.04,,Thailand,"Active Synergy Co., Ltd.",,,United Kingdom,EDF Trading Ltd (EDFT),Thailand,Nakhon Pathom,Kamphaeng Saen,Tha Chin,14.06782,99.96933,,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1271901107.75/view,
7,Advanced Wastewater Management at Rajburi Ethanol Plant,Waste,Unknown,,,Thailand,Rajburi Ethanol Co.,,,Sweden,Carbon Asset Management Sweden AB,Thailand,Ratchaburi,Ban Pong,Nam Mae Khlong Mainstem,13.83763,99.85872,,,UNFCCC,Biogas from wastewater from ethanol,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1337330382.67/view,
8,Agricultural cooperative solar project,Solar,Under Construction,5.0,2018.0,China,ReneSola Ltd (China),,,China,ReneSola Ltd (China),Thailand,Rayong,Muang Rayong,Coastal Rivers Rayong Chon Buri,12.70059,101.133,"Actual location unknown, currently sited at locality in link/announcement",,Renewables Now,https://www.prnewswire.com/news-releases/renesola-awarded-5mw-of-solar-projects-in-thailand-300483314.html,https://renewablesnow.com/news/renesola-wins-5-mw-of-agricultural-pv-projects-in-thailand-575003/;,
9,Ahlone,Gas,Operational,153.0,1995.0,Myanmar,MEPE (Myanmar),,,,,Myanmar,Yangon,Yangon-E,Irrawaddy Mainstem and Delta,16.78059,96.11212,,,Myanmar Institute for Peace and Security,https://www.industryabout.com/country-territories-3/1986-myanmar/fossil-fuels-energy/30614-ahlone-gas-power-plant,,
10,Ahlone,Gas,Planned,388.0,,Thailand; Japan; Myanmar,"TTCL Myanmar Power Co., Ltd (Thailand, Japan, Myanmar)",,,Thailand,"Toyo-Thai [Italian-Thai Development (Thailand), Toyo Engineering (Japan)]",Myanmar,Yangon,Yangon-W,Irrawaddy Mainstem and Delta,16.77856,96.13066,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,http://www.vdb-loi.com/wp-content/uploads/2018/01/Myanmar-Somewhat-Unexpectedly-Signs-4-Major-LNGGas-to-Power-Projects.pdf; https://www.ccifrance-myanmar.org/en/news/ceremony-held-for-lng-projects; https://frontiermyanmar.net/en/thai-firm-sees-progress-o,,
11,Ahlone,Gas,Operational,120.0,2013.0,Thailand; Japan; Myanmar,"Toyo Thai Power Myanmar Co., Ltd (Thailand, Japan, Myanmar)",,,,,Myanmar,Yangon,Yangon-W,Irrawaddy Mainstem and Delta,16.77856,96.13066,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288, http://www.ttcl.com/news/daily/view/3; https://energypedia.info/images/4/4c/MOEP_-_Public-private_partnership_development_in_Thermal_Power_Generation%2C_Thermal_Power_Department%2C_Myanmar_Electric_Power_Enterpr",,
12,AJ Technology Company Limited (AJ),Solar,Operational,3.7,2013.0,Thailand,"AJ Technology Co. Ltd. (Solar Power Asset Co., Ltd., Dr. Art-ong Jumsai No Ayudhya, Mr. Krit Jumsai Na Adhya, Solar Power Co., Ltd.)",,,,,Thailand,Lop Buri,Chai Badan,Pasak,15.10425,101.0768,,,SPC company website,https://www.spcg.co.th/en/getSubsibiaries/35,,
13,Ajinomoto Waste Water Treatment and Biogas Utilization Project,Biomass,Operational,4.0,2008.0,Japan,"Ajinomoto Co., Ltd.",,,,,Thailand,Kamphaeng Phet,Mueang Kamphaeng Phet,Chao Phraya-Ping,16.33837,99.67564,,,UNFCCC,https://www.ajinomoto.co.jp/company/en/activity/sustainability/ricehusk/,https://cdm.unfccc.int/Projects/DB/KBS_Cert1348557030.37/view,
14,Akekamai-Ramintra Solar Power Plant,Solar,Operational,1.0,,Thailand,Thai Solar Energy Public Company Limited (TSE),,,,,Thailand,Bangkok Metropolis,Khan Na Yao,Chao Phraya-Ping,13.8283,100.6798,,1333.654,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
15,Amata,Oil,Operational,13.0,,,,,,,,Vietnam,Đồng Nai,Biên Hòa,Dong Nai,10.9471,106.9,,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
16,Amata B.Grimm,Gas,Operational,732.0,2016.0,Thailand,B. Grimm Power,,,Japan; Germany; Finland; France,"Siemens, Sumitomo Corporation, Toshiba Plant Systems, Alstom Power, Pöyry Energy",Thailand,Chon Buri,Muang Chon Buri,Chao Phraya-Ping,13.4191,101.0272,,3000949,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://investor.bgrimmpower.com/misc/ar/20180326-bgrim-ar2017-en.pdf; https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,_x0008_,12/28/2020
17,Amata B.Grimm Power (Rayong) 1,Gas,Operational,123.3,2013.0,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9679627971364,101.11812949807,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
18,Amata B.Grimm Power (Rayong) 2,Gas,Operational,124.4,2013.0,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.967963,101.118129,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
19,Amata B.Grimm Power (Rayong) 3,Gas,Operational,133.0,2018.0,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9352080150761,101.098225808375,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
